,insert_BST_mean,insert_BST_std ,insert_map_mean,insert_map_std,copy_BTS_mean,copy_BTS_std,copy_map_mean,copy_map_std,find_BST_mean,find_BST_std,find_map_mean,find_map_std,modify_BST_mean,modify_BST_std,modify_map_mean,modify_map_std,erase_BST_mean,erase_BST_std,erase_map_std
51,353.368,88.0454574410287,356.864,493.6703287660708,5879.806,2153.966249587955,2796.115,1449.8962562111133,314.07,1005.182344204274,192.82,23.951025030257068,343.481,1031.7306555681093,216.955,467.6819228653167,1041.864,1372.5636238455395,304.252
52,367.004,85.09052816853355,361.503,619.2572906240182,6018.313,3249.7399540626343,2887.852,1835.0130299526497,253.632,65.18047695437647,211.138,620.0608106919834,312.2,89.79538963666239,255.427,1010.3182917630467,1020.591,1448.3217362585565,335.554
53,362.612,86.62931060559126,345.15,38.57762952800501,5965.486,1771.9609058339865,2858.099,1411.6847258502871,282.731,622.3183852651308,195.187,128.9145997589102,346.356,876.1777635069278,225.583,616.1979658445814,1117.055,2196.430752829462,329.097
54,376.199,659.4642730269774,351.0,438.4262514950491,6097.672,3122.940291522719,2896.093,1310.8517453743575,303.169,767.6683505518512,191.941,24.20420457275965,375.507,1190.3720376214312,197.556,23.27008517388795,1139.887,1789.5091931116203,283.179
55,369.615,79.40693152993643,345.225,54.11966717377333,6147.768,2835.285943988015,2989.367,1591.4198805818016,297.872,940.0712279481804,199.352,184.91273643532506,313.326,232.6804498104643,206.807,98.34950813806846,1148.786,1387.9411825448506,293.784
56,353.144,82.54553448854759,353.573,436.34032895321513,6162.847,2116.0041591620266,3021.234,1794.296510402894,274.068,453.81072858186116,227.774,776.053154702692,358.081,874.605507894273,211.469,76.6731441836058,1209.423,2046.2812182275916,292.894
57,352.864,91.00960116383327,358.417,435.03194723031555,6338.184,3568.4982356929927,3032.563,1489.4611428402548,325.923,898.2687410073885,193.09,24.418105987156338,336.215,625.3481372603586,214.739,444.68062345800377,1154.012,1588.0932352528932,278.573
58,351.795,94.21737087713713,369.553,627.2746393654053,6397.001,2392.1488810270566,3024.512,1125.7654595234305,330.625,1275.8079237781055,189.641,23.31995109343073,336.493,668.7204901533975,219.375,453.8627241523587,1178.299,1581.2439222330622,293.914
59,370.846,83.81356861511149,342.008,38.24719513899024,6468.572,2244.6390865384155,3243.142,3886.843182048384,281.158,664.4766534920545,194.519,27.149136984442094,332.154,651.2536927219684,200.704,25.64598182951865,1229.64,2278.840582928081,293.248
60,386.334,766.3908418320235,361.152,628.0232072909399,6517.366,2027.930647740203,3184.603,1846.477706172213,288.506,484.97086919113,208.495,526.5570130337272,335.416,443.6728557664983,221.461,436.4190422965067,1065.88,2125.6756421429864,269.157
61,392.211,508.49086567902094,361.493,430.14534282147036,6543.088,1874.3865082356938,3223.542,1664.451697777981,295.818,657.5385759603768,190.929,23.332080040150732,320.32,236.45782203175264,226.938,618.9801306633358,1081.135,1423.5458344482633,266.963
